Row,Timestamp,GreenLane,L1_Score,L2_Score,L3_Score,L4_Score,L1_Queue,L2_Queue,L3_Queue,L4_Queue,GreenDuration,NightMode,Emergency,EmergencyVehicle
0,08:00:00,Lane 3,12,12,3,2,12,12,3,2,5,NO,NO,-
0,08:00:00,Lane 3,12,12,3,2,12,12,3,2,5,NO,NO,-
5,08:00:50,Lane 1,33,30,0,13,33,30,0,13,10,NO,NO,-
15,08:02:30,Lane 2,0,66,35,38,0,66,35,38,6,NO,YES,AMBULANCE
21,08:03:30,Lane 4,27,21,55,58,27,21,55,58,10,NO,NO,AMBULANCE
31,08:05:10,Lane 3,74,53,90,2,74,53,90,2,10,NO,NO,-
41,08:06:50,Lane 1,197,143,0,76,197,143,0,76,10,NO,NO,-
51,08:08:30,Lane 2,97,179,46,137,97,179,46,137,10,NO,NO,-
57,08:09:30,Lane 4,125,119,71,162,125,119,71,162,6,NO,YES,FIRE
63,08:10:30,Lane 1,154,155,98,102,154,155,98,102,10,NO,NO,FIRE
73,08:12:10,Lane 2,67,210,160,155,67,210,160,155,10,NO,NO,-
83,08:13:50,Lane 4,458,0,285,531,458,0,285,531,10,NO,NO,-
